legajo,actual,nuevo_base,nuevo_ajustado,bultos,horas,dias,sector,diff_base,pct_base,diff_aj,pct_aj,bph,grupo,equiv
207453,233312.96,175316.7,184696.3,21811.0,166.0,24,F1,-57996.25999999998,-24.857710433230963,-48616.66,-20.83753084269301,131.39156626506025,OTRAS CAMARAS,1.0
207479,187426.21,141606.84,156259.88,19309.0,161.0,23,BA,-45819.369999999995,-24.446618218444474,-31166.329999999987,-16.62858679156986,119.93167701863354,OTRAS CAMARAS,1.0
207481,331868.77999999997,143350.9,159774.32,19082.0,218.0,26,AM,-188517.87999999998,-56.80494561736117,-172094.45999999996,-51.85617640803692,87.53211009174312,SECOS + NOA,1.1
207656,219098.13,159202.02,174902.18,22299.0,179.0,24,BA,-59896.110000000015,-27.337572438432044,-44195.95000000001,-20.17176048010999,124.57541899441341,OTRAS CAMARAS,1.0
207657,713614.64,367067.91000000003,396620.07,34679.0,224.0,28,B1,-346546.73,-48.56216654972212,-316994.57,-44.42097348227049,154.81696428571428,SECOS + NOA,1.0
207658,395670.36,335912.15,368329.69,28495.0,211.0,27,B1,-59758.20999999996,-15.103029198345805,-27340.669999999984,-6.909961615522573,135.04739336492892,SECOS + NOA,1.0
207659,124117.87,109111.28,119282.22,15782.0,135.0,18,F1,-15006.589999999997,-12.09059581831367,-4835.649999999994,-3.8960143289600393,116.9037037037037,OTRAS CAMARAS,1.0
207660,427769.88,299637.09,329383.57,29147.0,208.0,26,B1,-128132.78999999998,-29.95367275508037,-98386.31,-22.999821773332897,140.12980769230768,SECOS + NOA,1.0
207662,369324.41000000003,340275.82,384620.14,27408.0,207.0,26,B1,-29048.590000000026,-7.8653317282765105,15295.729999999981,4.141543203169262,132.40579710144928,SECOS + NOA,1.0
207680,525314.67,354184.68,394797.7,30754.0,206.0,27,B1,-171129.99000000005,-32.57666305035799,-130516.97000000003,-24.84548356511727,149.29126213592232,SECOS + NOA,1.0
207681,150618.51,128758.79,143326.69,17470.0,151.0,20,F1,-21859.720000000016,-14.513302515076013,-7291.820000000007,-4.841250919292726,115.69536423841059,OTRAS CAMARAS,1.0
207683,241328.12,178195.1,191568.98,22778.0,174.0,23,F1,-63133.01999999999,-26.160656288210422,-49759.139999999985,-20.61887359003169,130.90804597701148,OTRAS CAMARAS,1.0
207684,206746.44,151703.13,159572.09,23074.0,190.0,25,F1,-55043.31,-26.62358297439124,-47174.350000000006,-22.81749083563422,121.4421052631579,OTRAS CAMARAS,1.0
207686,302299.44,273598.98,273598.98,25679.0,183.0,24,B1,-28700.46000000002,-9.494050005517716,-28700.46000000002,-9.494050005517716,140.3224043715847,SECOS + NOA,1.0
207687,252287.75,170175.66,181550.28,23367.0,176.0,23,F1,-82112.09,-32.546998417481625,-70737.47,-28.038408523600534,132.76704545454547,OTRAS CAMARAS,1.0
207710,826007.47,462844.22,505761.96,36583.0,218.0,27,B1,-363163.25,-43.96609754630912,-320245.50999999995,-38.770292234766345,167.8119266055046,SECOS + NOA,1.0
